页码,识别文字,置信度,左上角坐标,右下角坐标
7,沦汹泛沧没沟沪沈沉沁怀,0.9039,[ 159 1825],[2160 2045]
7,忧忱快完宋宏牢宪穷灾良,0.9685,[ 156 1980],[2160 2248]
7,证,0.9978,[ 182 2181],[ 325 2328]
7,启评补初社祀识诈诉,0.9538,[ 368 2216],[1956 2328]
7,罕,0.8581,[2010 2223],[2118 2328]
8,0,0.2777,[162   0],[722  89]
8,[行楷]教学版,0.9157,[1867    3],[2160   84]
8,诊词译君灵即层屁尿尾迟,0.9896,[169  98],[2160  280]
8,坠鸡纹现评,0.8351,[1924  243],[2160 1170]
8,妙妖姊妨妒努忍劲矣,0.9668,[321 452],[1989  623]
8,驱纯纱纲纳驳纵纷纸,0.9841,[342 610],[1989  805]
8,奉玩环武青责,0.9802,[881 775],[1987  982]
8,8画,0.9976,[733 845],[866 919]
8,拌拧拂拙招坡披拨择,0.8533,[ 302 1465],[1983 1669]
8,拗其取莱苦昔苛若茂,0.9282,[ 315 1646],[1971 1828]
8,苗英苟苑苞范直茧茄茎苔,0.9372,[ 183 1826],[2130 1999]
8,下钩横,0.9847,[ 170 2081],[ 228 2214]
8,起笔轻灵,0.867,[ 292 2076],[ 443 2119]
8,横末加钩以启下,0.9784,[ 708 2126],[1033 2170]
8,部，保留横画主笔形态。,0.9885,[ 629 2184],[1033 2224]
8,天天天,0.9992,[1105 2212],[1573 2308]
8,折钩于脆,0.6392,[ 412 2258],[ 565 2304]
9,通用,0.9943,[170   0],[309  80]
9,规范汉字7000字,0.9922,[301   8],[710  59]
9,[行楷]服学,0.9133,[1879    0],[2160   81]
9,茅枉林枝杯枢柜枚析板松,0.9529,[176  92],[2160  257]
9,枪枫构杭杰述枕丧或画卧,0.961,[173 261],[2160  454]
9,刺枣雨卖郁矾矿码厕奈,0.9437,[332 438],[2084  633]
9,,0.0,[1966  431],[2160 1362]
9,奇奋态欧殴垄妻轰顷,0.9447,[306 606],[2056  809]
9,虎虏肾贤尚旺具味果昆国,0.9313,[159 952],[2078 1176]
9,牧物乖刮秆和季委秉佳侍,0.9683,[ 144 1811],[2160 2094]
9,岳供使例侠侥版侄侦侣侧,0.9707,[ 158 2008],[2157 2264]
9,电,0.5948,[1261 2265],[1356 2330]
9,20,0.8138,[1447 2284],[1529 2329]
10,通用,0.9937,[172   0],[312  84]
10,规范汉字7000字,0.9977,[302   7],[720  65]
10,3000,0.622,[1627    7],[1803   64]
10,[行楷]教学庭,0.8432,[1865    6],[2160   86]
10,征往爬彼径所舍金刹命肴,0.9852,[181 105],[2154  260]
10,斧爸采觅受乳贪念贫忿肤,0.9523,[170 269],[2160  459]
10,肺周铜疙育炕沮泥,0.8851,[158 369],[ 377 1856]
10,放,0.9964,[1817  938],[1966 1126]
10,剂,0.9951,[576 948],[ 687 1163]
10,育,0.6614,[1572 1019],[1826 1079]
10,炬,0.9267,[1649 1132],[1760 1312]
10,沫浅法泄沽河沾,0.993,[ 673 1279],[2005 1494]
10,炉,0.9975,[ 555 1313],[ 755 1479]
10,泪,0.9316,[1946 1313],[2160 1458]
10,沸治波泼泽治忆怯怖性,0.854,[ 339 1658],[2156 1825]
10,怕怜怪怡学宝,0.9855,[ 188 1838],[1264 1993]
10,运笔与两连横相,0.9986,[ 719 2020],[1052 2060]
10,,0.0,[1117 2023],[1231 2162]
10,中,0.1924,[1468 2019],[1590 2322]
10,牵丝可断,0.9698,[ 270 2084],[ 427 2128]
10,似，三横为主，连线为,0.9831,[ 639 2077],[1050 2113]
10,三连横,0.9893,[ 180 2097],[ 242 2226]
10,\,0.4821,[ 351 2141],[ 556 2237]
10,辅，行笔一方面要体现,0.9914,[ 642 2132],[1053 2164]
10,横画的长短、正斜变化，,0.9649,[ 641 2183],[1050 2216]
10,丰,0.9985,[1122 2179],[1228 2322]
10,另一方面还要体现书写,0.9985,[ 643 2237],[1050 2268]
10,三横等距,0.9934,[ 359 2270],[ 514 2313]
10,的流动性,0.9984,[ 643 2289],[ 814 2322]
11,通用,0.969,[177   0],[312  75]
11,规范汉字7000字,0.9961,[310   5],[717  57]
11,[行楷]教学版,0.9611,[1871    6],[2160   92]
11,衫视祈话诞诡询该详,0.9434,[524 254],[2160  454]
11,录,0.9955,[557 421],[699 612]
11,居届刷,0.9556,[1247  425],[1804  621]
11,隶,0.9901,[728 442],[879 606]
11,帚陋,0.7854,[885 435],[1083  788]
11,弧,0.9876,[2016  442],[2134  635]
11,屈,0.9587,[1816  453],[2051  612]
11,展,0.0727,[1030  501],[1300  548]
11,陌孤,0.9951,[1078  585],[1436  814]
11,,0.0,[1986  593],[2160  992]
11,函,0.8562,[1841  605],[1947  827]
11,陕,0.9911,[1455  626],[1620  779]
11,降,0.9987,[1633  632],[1789  781]
11,妹艰,0.9576,[183 751],[ 364 1164]
11,朱姑姐姓妮始姆迢驾,0.8861,[271 780],[1815  985]
11,参,0.7045,[1817  817],[1969  962]
11,契贰奏,0.9928,[1441 1157],[1991 1338]
11,画6,0.8866,[1281 1204],[1416 1286]
11,拷拱项垮挎城挟挠政赴,0.8856,[ 329 1485],[2160 1732]
11,指垫挣挤拼挖按挥挪拯某,0.9356,[ 144 1834],[2160 2100]
11,荆茸革茬荐苍带草茧茵,0.8009,[ 328 2046],[2160 2280]
11,开,0.2261,[ 197 2250],[ 278 2308]
11,开,0.4527,[ 369 2258],[ 454 2309]
12,通用规范汉字7000字,0.9257,[164  10],[715 117]
12,[行楷]教学版,0.893,[1859   15],[2160   83]
12,南药标栈柑枯柄栋相查柏,0.9743,[176 122],[2149  258]
12,栅柳柱柿栏柠树勃要柬咸,0.9436,[160 271],[2160  460]
12,砍,0.9791,[1980  412],[2141  610]
12,砚,0.9146,[1800  436],[1971  605]
12,牵,0.1716,[775 579],[835 862]
12,鸥残殃轴轻鸦,0.9961,[848 605],[1985  798]
12,冒,0.9991,[1796  976],[1954 1125]
12,哆咬咳味哪哟炭峡罚,0.8472,[ 330 1469],[1991 1669]
12,贻骨幽钙钝钞钟钢钠,0.959,[ 330 1635],[2015 1845]
12,钦钩钩钮卸缸拜看矩毡氢,0.8158,[ 177 1845],[2151 2005]
12,主笔动健,0.8767,[ 374 2084],[ 526 2127]
12,右钩竖,0.9158,[ 174 2104],[ 232 2228]
12,竖末带钩以启右,0.9915,[ 710 2112],[1041 2151]
12,部，主要位于字的左侧，,0.9743,[ 630 2167],[1037 2207]
12,竖为主，钩为次。,0.971,[ 629 2224],[ 936 2262]
12,优优优,0.9903,[1094 2221],[1593 2323]
12,钩笔轻页,0.6327,[ 351 2270],[ 502 2314]
13,通用规范汉字7000字,0.9892,[177   0],[731  59]
13,[行楷]教学版,0.8532,[1870    0],[2159   59]
13,怎牲选适秒香种秋科重复,0.9847,[188  80],[2150  238]
13,逃食盆胚胧胆胜胞胖脉,0.8965,[348 748],[2160  962]
13,怨哀姿养逆洁洽,0.8878,[1975  905],[2160 2171]
13,姜叛送类迷籽娄前首,0.9665,[ 342 1626],[2011 1829]
13,洒柒浇浊洞测洗活派,0.9193,[ 356 2019],[1960 2145]
13,浏济洋洲浑浓津恃,0.9806,[ 502 2182],[1993 2310]
13,染洛,0.9317,[ 201 2195],[ 561 2310]
13,恒,0.9939,[1990 2186],[2118 2302]
14,高,0.1666,[170   0],[303  70]
14,规范汉字7000字,0.9952,[301   1],[709  54]
14,[行楷]教学版,0.9334,[1860    0],[2157   62]
14,恢恍恬恤恰恼恨举觉宣宦,0.973,[174  92],[2135  226]
14,袄祖神祝祠误诱诲说诵,0.9179,[332 421],[2153  603]
14,退既屋昼屏屎费陡逊眉,0.9489,[327 584],[2157  789]
14,陨除险院娃姥姨姻娇姚,0.9592,[312 767],[2160  951]
14,耕耘耗耙艳泰秦,0.9768,[ 882 1261],[2160 1489]
14,骇统,0.9816,[ 276 1297],[ 727 1458]
14,10画,0.9972,[ 726 1338],[ 889 1412]
14,小捕,0.5585,[1987 1378],[2149 1634]
14,未班素匿蚕顽盏匪捞栽,0.9108,[ 272 1463],[2076 1640]
14,捂振载赶起盐捎捍捏埋,0.9797,[ 308 1648],[2158 1806]
14,捉捆捐损袁捌都哲逝捡挫,0.9512,[ 171 1826],[2154 1989]
14,lu,0.9472,[1100 2003],[1263 2143]
14,lu,0.9454,[1279 2002],[1441 2142]
14,lu,0.9403,[1437 1998],[1578 2140]
14,三坚等距,0.8771,[ 349 2042],[ 505 2081]
14,运笔与两连竖相,0.9986,[ 714 2061],[1048 2099]
14,三连竖,0.9903,[ 166 2077],[ 227 2216]
14,1o10,0.4659,[ 372 2079],[ 468 2120]
14,m,0.8327,[ 360 2123],[ 483 2197]
14,似，三笔可连可断，各,0.9756,[ 633 2118],[1049 2152]
14,有情趣，整体形态宜舒,0.9954,[ 637 2172],[1047 2204]
14,训,0.9957,[1277 2165],[1425 2303]
14,训,0.9964,[1100 2180],[1240 2304]
14,l,0.623,[1452 2172],[1594 2300]
14,展连贯。,0.962,[ 635 2223],[ 784 2269]
14,未竖可用悬针,0.9038,[ 274 2264],[ 511 2304]
15,通用,0.9145,[175   0],[315  77]
15,规范汉字7000字,0.9969,[314   7],[722  56]
15,[行楷],0.8929,[1868    3],[2036   76]
15,教学版,0.9246,[2026   13],[2159   68]
15,换挽挚热恐捣壶捅埃挨耻,0.9169,[184  99],[2154  237]
15,耿耽聂恭莽莱莲莫莉荷获,0.9825,[169 253],[2160  439]
15,索哥速逗栗贾酌配翅,0.8659,[310 765],[2062  957]
15,夏,0.9311,[397 894],[ 480 1147]
15,一,0.0655,[411 913],[438 945]
15,砸砰砾础破原套逐,0.9752,[524 941],[1983 1126]
15,晌剔晕蚌畔蚣蚊蚪蚓哨,0.9358,[ 317 1451],[2160 1648]
15,啊赂,0.7337,[1966 1599],[2160 2167]
15,圃哭哦恩鸯唤唁哼唧,0.9191,[ 310 1609],[2000 1843]
15,峭峨峰圆峻贼贿,0.9773,[ 683 1785],[1980 2004]
15,罢,0.9937,[ 490 1819],[ 679 1976]
15,钻钾铁铃铅缺氧,0.993,[ 679 1965],[1971 2169]
15,钳,0.9798,[ 509 2008],[ 751 2151]
15,特,0.9978,[ 128 2165],[ 274 2324]
16,[行楷]教学版,0.8506,[1846    8],[2160   91]
16,秘透笔笑笋债借值倚俺倾,0.9789,[156 140],[2159  275]
16,臭航,0.8758,[1959  242],[2158  642]
16,,0.0,[313 902],[324 909]
16,烦烧烛烟烙递涛浙涝浦酒,0.9015,[ 179 1845],[2137 2004]
16,,0.0,[1087 2025],[1624 2155]
16,附钩撇,0.8194,[ 164 2097],[ 219 2230]
16,附沟自然干脆,0.8753,[ 304 2097],[ 345 2308]
16,长撇写完后顺势提,0.9673,[ 705 2105],[1033 2144]
16,1,0.352,[ 389 2121],[ 489 2251]
16,横笔有键,0.3975,[ 513 2117],[ 559 2262]
16,钩以启上部，笔断意连，,0.9863,[ 623 2162],[1029 2198]
16,九九九,0.9986,[1087 2201],[1589 2325]
16,整体形态开阔，舒展。,0.9852,[ 622 2219],[1012 2251]
17,通用,0.9973,[140   0],[272  78]
17,WOOE,0.3445,[1501   10],[1603   49]
17,[行楷]教学版,0.8766,[1673    2],[1940   90]
17,规范汉字7000字,0.993,[264  13],[640  63]
17,涉消涡浩海涂浴浮涣涤流,0.9805,[154 101],[1932  250]
17,润涧涕浪浸涨烫涩涌悖悟,0.977,[152 275],[1932  443]
17,扇冤,0.9907,[1763  576],[1941  965]
17,窄客宰案请朗诸诺读,0.9084,[265 616],[1785  806]
17,谅谆谈谊剥恳展剧屑弱陵,0.951,[133 958],[1957 1159]
17,难预桑绢绣验继骏,0.9818,[ 142 1309],[1454 1503]
17,11画,0.9965,[1455 1376],[1611 1451]
17,理琉琅捧堵措描域捺掩捷,0.9378,[ 128 1467],[1969 1703]
17,排焉掉捶赦堆推埠掀授捻,0.9163,[ 135 1666],[1961 1883]
17,教掏捣掠掂培接掷控探据,0.8983,[ 133 1827],[1958 2083]
17,掘掺职基聆勘聊娶著菱勒,0.9245,[ 132 2015],[1957 2273]
17,黄菲萌,0.9839,[ 142 2212],[ 615 2330]
17,女,0.1262,[1163 2286],[1230 2321]
18,通用规范汉字,0.9773,[178   0],[539  49]
18,7000字,0.999,[540   0],[718  42]
18,[行楷],0.9304,[1866    0],[2023   67]
18,万安祥,0.1235,[2003    4],[2159   61]
18,菠萤营乾萧萨菇械彬梦婪,0.9331,[174  59],[2160  257]
18,曹爽雀啪,0.9621,[1946  230],[2160  962]
18,梧梢梅检梳梯桶梭救,0.9761,[350 250],[1992  430]
18,,0.0,[1932  302],[2027  363]
18,婴圈铐铛铝铜铭铲银,0.9393,[ 345 1431],[1993 1643]
18,第敏做袋悠偿偶偎偷您售,0.8979,[ 174 1787],[2147 1995]
18,变楷书捺的一波三,0.9896,[ 712 2015],[1041 2060]
18,收笔宜迅速,0.9665,[ 340 2067],[ 527 2106]
18,折为一长顿笔，简捷明,0.9946,[ 631 2073],[1038 2111]
18,反擦,0.6079,[ 171 2090],[ 227 2173]
18,快，与长点相似，笔画长,0.9881,[ 630 2128],[1038 2164]
18,关吴关,0.7393,[1099 2166],[1588 2315]
18,短、方向依字而定，书写,0.9859,[ 630 2181],[1037 2216]
18,附钩回带干脆,0.9129,[ 318 2219],[ 546 2254]
18,起来比正捺要灵活。,0.9737,[ 626 2234],[ 959 2274]
19,[行楷]教学版,0.8902,[1861    2],[2160   76]
19,停偏躯兜假衅徘徙得衔盘,0.963,[167 109],[2149  254]
19,舶船舵斜盒鸽敛悉欲彩领,0.9689,[173 275],[2160  440]
19,猪毫鹿着焕,0.978,[1964  379],[2156 1332]
19,猎猫凰猖猛祭馅馆凑减,0.9521,[171 609],[1981  799]
19,庶麻庵痊痒痕廊康庸,0.8754,[263 780],[1967  971]
19,阎阐,0.8771,[1600  956],[1984 1132]
19,,0.0,[1961 1574],[2160 2181]
19,1,0.0432,[1898 1736],[1975 1730]
19,宿窒,0.8049,[ 354 1985],[ 742 2197]
19,窑密谋谋谎谐狱,0.8886,[ 699 1995],[1980 2166]
19,谚谜逮敢尉屠弹,0.9828,[ 523 2175],[1781 2330]
19,堕,0.9898,[1986 2167],[2131 2330]
19,隋,0.9946,[1807 2183],[1994 2328]
19,祸,0.9943,[ 182 2206],[ 357 2330]
19,谓,0.9972,[ 363 2208],[ 505 2328]
20,通用,0.9903,[155   5],[333 115]
20,[行楷],0.9516,[1825   21],[1988   95]
20,规范汉字7000字,0.9967,[288  34],[696  87]
20,教学版,0.7087,[1980   37],[2118   87]
20,随蛋隅隆隐婚婶婉颇颈绩,0.9699,[164 119],[2111  271]
20,琴琳琢琼斑替,0.9757,[868 447],[1940  636]
20,12画,0.9988,[701 504],[861 571]
20,款堪塔搭堰揩越趁趋超,0.8589,[144 597],[1941  818]
20,酣酥厨厦硬硝确硫雁殖裂,0.9751,[ 165 1835],[2113 1999]
20,风1,0.5211,[1254 2036],[1390 2336]
20,2,0.6708,[1448 2067],[1554 2173]
20,顾名思义，即撇捺,0.9436,[ 695 2078],[1019 2118]
20,8,0.4855,[1074 2080],[1210 2114]
20,撇擦结,0.6248,[ 152 2096],[ 213 2228]
20,绕圈连写，运笔要有节,0.9868,[ 614 2133],[1016 2173]
20,区,0.9963,[1442 2172],[1556 2320]
20,奏，有重有轻，有快有,0.9891,[ 614 2187],[1019 2225]
20,区,0.9999,[1092 2200],[1195 2325]
20,一般用反捺,0.8158,[ 329 2242],[ 522 2281]
20,慢，整体形态圆转自然。,0.9918,[ 612 2242],[1020 2278]
20,且带附钩,0.9095,[ 329 2281],[ 483 2321]
21,通用,0.9412,[161   0],[294  79]
21,规范汉字7000字,0.9915,[290   4],[677  69]
21,[行楷],0.897,[1760   11],[1914   86]
21,教学版,0.9036,[1888   17],[2037   81]
21,雄颊雳暂雅翘辈悲紫凿辉,0.9812,[174  99],[2018  260]
21,敞棠赏掌晴睐暑最晰量鼎,0.9604,[166 270],[2016  446]
21,鹃喂喘喉喻啼喧嵌幅帽赋,0.99,[165 784],[2008  946]
21,锅锈锋锌锐甥掰短智氮毯,0.9473,[ 162 1117],[2027 1309]
21,蛮,0.7248,[1916 1924],[2085 2166]
21,鲁猩猬猾猴惫然馈馋装,0.9796,[ 161 2010],[1916 2168]
21,善,0.9967,[1947 2153],[2081 2324]
21,就敦斌痘痢痪痛童竣阔,0.9145,[ 167 2174],[1916 2324]
22,迪用,0.7743,[160   0],[290  75]
22,规范汉字7000字,0.9682,[285   6],[656  59]
22,00oT,0.4285,[1472    4],[1626   50]
22,[行楷]教学版,0.9544,[1695    4],[1958   75]
22,翔羡普粪尊奠道遂曾焰港,0.8903,[170  99],[1946  241]
22,隔隙隘媒絮嫂媚婿登缅缆,0.9328,[ 148 1118],[1971 1311]
22,缉缎缓缔缕骗编骚缘,0.9491,[ 155 1308],[1638 1454]
22,瑟,0.9899,[1812 1312],[1953 1446]
22,13画,0.998,[1641 1337],[1790 1408]
22,鼓摆携搬摇搞塘摊聘斟蒜,0.9161,[ 154 1652],[1963 1812]
22,勤靴靶鹊蓝墓幕蓬蓄蒲蓉,0.9631,[ 162 1847],[1953 1979]
22,\,0.2304,[1330 2030],[1447 2186]
22,相当于草书的替代,0.9979,[ 645 2049],[ 951 2092]
22,之,0.8867,[1005 2042],[1120 2159]
22,流动线,0.9959,[ 137 2097],[ 193 2226]
22,指向不同,0.973,[ 464 2105],[ 507 2249]
22,符号，这种替代不改变,0.9919,[ 571 2107],[ 948 2147]
22,之,0.6647,[ 267 2130],[ 476 2238]
22,走,0.9916,[1172 2130],[1304 2320]
22,走,0.9818,[1329 2149],[1467 2310]
22,原有的形态，如“是”,0.959,[ 572 2165],[ 947 2198]
22,走,0.9963,[1011 2200],[1130 2320]
22,“走”“定”“楚”等字的,0.9633,[ 575 2218],[ 950 2252]
22,长短有别,0.9747,[ 285 2261],[ 433 2303]
22,下部可用流动线代替。,0.9786,[ 572 2272],[ 935 2309]
23,通用,0.9971,[146   0],[280  77]
23,规范汉字7000字,0.9978,[269  10],[651  73]
23,000a,0.7653,[1495   23],[1624   69]
23,[行楷]最学版,0.8845,[1686   29],[1957  110]
23,蒙蒸献椿禁楚楷榄想槐榆,0.9676,[167 109],[1944  268]
23,楼概赖酪酬感碍碘碑碎碰,0.959,[153 292],[1949  458]
23,碗碌尴雷零雾雹辐辑输,0.9759,[155 471],[1793  621]
23,鄙嗦愚暖盟歇暗暇照畸跨,0.9638,[143 796],[1972  988]
23,错锚锡锣锤锥锦键锯锰,0.987,[ 154 1333],[1859 1493]
23,辞稚稠颓愁筹签简筷毁,0.9837,[ 145 1496],[1802 1680]
